IND|P1 |P2  |P1  |P2   |P1  |P2   |P1  |P2   |P1  |P2
0.1|0.1|-0.1|0.05|-0.05|0.01|-0.01|0.005|-0.005|0.001|-0.001
0.1|0.1|-0.1|0.05|-0.05|0.01|-0.01|0.005|-0.005|0.001|-0.001
0.5325561072602647|0.5325707003681198|-0.5332403862171957|0.2653639041003308|-0.2661176673228058|0.053573888636499326|-0.05311749564727815|0.026835657634831384|-0.026489314390568647|0.005431903142470064|-0.00524843011179434
0.5347640411635619|0.5330113046895749|-0.5308208275929331|0.2687085993579925|-0.2619130669581061|0.05873398300205746|-0.048474154420385815|0.030336927863726784|-0.023321957608417793|0.009037133626535802|-0.002741394464965013
0.5360556616766226|0.5332747590549785|-0.5302107322724888|0.26969165471339085|-0.2585302406088786|0.06154038982244616|-0.045664063158032585|0.03347337448123896|-0.0213059767123234|0.0108481260609292|-0.001716061063090829
0.5377961587524843|0.5336309789960383|-0.5285640124005532|0.27092170903018714|-0.25536382761140086|0.06651746183146408|-0.04162164123459548|0.036379656670118235|-0.01878307615102617|0.013815066484972948|0.00015692982862200192
0.5394060984256789|0.5338757858781759|-0.5271226399893976|0.2726474171602046|-0.25158862746945293|0.07005755283122954|-0.03828197474894132|0.040091461230240655|-0.01590295384776661|0.016979821190210385|0.001965516972830452
0.5403231431710295|0.5338065919382207|-0.5263306136320545|0.27481741230854323|-0.2483305409977138|0.07274977191668458|-0.035759484560094076|0.04208612483542534|-0.013646679496965977|0.018611842863193707|0.003113888397476941
0.5410763918083742|0.5339052706532137|-0.5256751734014408|0.2751809791244529|-0.24671794148173787|0.07481915241162437|-0.03401354519102375|0.04398825171727603|-0.012378801639465501|0.019799326915116624|0.004213923980904199
0.5414691834177653|0.5339717134167773|-0.5253981142545564|0.27508888135504606|-0.24591675238676616|0.07605791931342411|-0.03323553364346866|0.04494462309686141|-0.01184342955131398|0.0204637058074625|0.004975485574041058
0.542420405993719|0.5339526304701775|-0.5244446910791835|0.2765822271256505|-0.24310982653810617|0.07953860200324661|-0.02971857182451001|0.04694704955913759|-0.01045594372742387|0.021745330229363456|0.0060454218241000595
0.5438299544159282|0.5340773123302885|-0.5235111101764167|0.27657360278401844|-0.2397062745623705|0.0836083074987595|-0.026264354439134222|0.050775555276119946|-0.007211180817715526|0.025012106220942944|0.007651002383652871
0.5455083343970643|0.5341488633290835|-0.5223420025544082|0.27682791709901144|-0.23500903568147938|0.08958908395861347|-0.02134721324556034|0.055038313035837484|-0.004155128598485574|0.027890385081028052|0.009760977633389328
0.5472707542442772|0.5343310712303863|-0.5210132744697155|0.27552882141422463|-0.23124389938336798|0.09520591303308615|-0.017064431971230632|0.059991065500569256|-0.0007929951906879448|0.03207193421874328|0.012521852911369728
0.5483006758683978|0.5344395516226695|-0.5209126857351496|0.27385928117672165|-0.22794710831862364|0.0993533330002148|-0.014886882226325934|0.06319768886932393|0.0011050207941113105|0.03384830223287867|0.014083242249525282
0.5494281696647229|0.5343564113860602|-0.5201421376781272|0.2730561344670363|-0.2246999149964774|0.10372543539843715|-0.011287509268818899|0.06689222350902087|0.004001685042683661|0.03697743321274647|0.015813816786406736
0.5508872402755619|0.5343217319457095|-0.5191573737443277|0.2709990365334805|-0.22087378930608548|0.10878122626029323|-0.00796385372457623|0.0723111454823684|0.008197559318687793|0.04170269015739147|0.018478465724804334
0.552213741152051|0.5341882776033314|-0.51866890791843|0.26898498716141606|-0.2161336660381005|0.11394414730234377|-0.004170257138628372|0.07741143728906806|0.011808179217640923|0.04537630789429053|0.020666746543067355
0.5526533299935719|0.5340548894552314|-0.5183167850666444|0.26865200338017325|-0.21441523252726027|0.11617901073526286|-0.0027498245472738665|0.07893013074797693|0.013059661243790068|0.04664129944352129|0.021875469784994637
0.5536676542381183|0.5336519370655894|-0.5178704875629869|0.2678664535059917|-0.20927488441687642|0.12168986264910592|0.0010444460594008296|0.08273675484153371|0.016510991858821447|0.04931021892742244|0.023884890257933493
